BEAT_OF_OCCURRENCE,total_acidentes_ult_6m,acidentes_noite_ult_6m,acidentes_fim_semana_ult_6m,iluminacao_risco_ult_6m,pista_risco_ult_6m,defeito_via_ult_6m,dispositivo_problema_ult_6m,clima_risco_ult_6m,velocidade_soma_ult_6m,num_units_soma_ult_6m,lat_media_beat,lon_media_beat,media_acidentes_mensal_ult_6m,perc_acidentes_noite_ult_6m,perc_acidentes_fim_semana_ult_6m,perc_iluminacao_risco_ult_6m,perc_pista_risco_ult_6m,perc_defeito_via_ult_6m,perc_dispositivo_problema_ult_6m,perc_clima_risco_ult_6m,velocidade_media_ult_6m,num_units_medio_ult_6m,MES_REF,ultimo_mes_historico,mes_previsao,prioridade_prevista,prob_alta,prob_baixa,prob_media,prob_prioridade_prevista
114,489.0,165.0,134.0,156.0,59.0,9.0,5.0,59.0,15384.0,976.0,41.880698433791736,-87.61987373040616,81.5,0.3374233128834356,0.2740286298568507,0.31901840490797545,0.12065439672801637,0.018404907975460124,0.010224948875255624,0.12065439672801637,31.460122699386503,1.9959100204498978,2026-07-01,2026-06-01,7,ALTA,0.9889895866398414,0.0009317649745258206,0.010078648385632712,0.9889895866398414
1831,495.0,202.0,170.0,188.0,60.0,4.0,3.0,64.0,14395.0,996.0,41.89167452068914,-87.63417111633488,82.5,0.4080808080808081,0.3434343434343434,0.3797979797979798,0.12121212121212122,0.00808080808080808,0.006060606060606061,0.1292929292929293,29.08080808080808,2.012121212121212,2026-07-01,2026-06-01,7,ALTA,0.9843511412769966,0.0021393151437486303,0.013509543579254879,0.9843511412769966
813,508.0,173.0,135.0,151.0,83.0,4.0,8.0,76.0,14429.0,1040.0,41.78339087686779,-87.73588481046446,84.66666666666667,0.3405511811023622,0.265748031496063,0.297244094488189,0.16338582677165353,0.007874015748031496,0.015748031496062992,0.14960629921259844,28.403543307086615,2.047244094488189,2026-07-01,2026-06-01,7,ALTA,0.9795932866006907,0.0013215070558399722,0.019085206343469767,0.9795932866006907
1834,611.0,191.0,165.0,167.0,67.0,13.0,3.0,74.0,17900.0,1203.0,41.89247057013944,-87.62094830492437,101.83333333333333,0.31260229132569556,0.2700490998363339,0.2733224222585925,0.10965630114566285,0.02127659574468085,0.004909983633387889,0.12111292962356793,29.2962356792144,1.9689034369885434,2026-07-01,2026-06-01,7,ALTA,0.9791625951408389,0.0006786692717739379,0.020158735587387424,0.9791625951408389
2413,421.0,127.0,104.0,105.0,76.0,6.0,4.0,72.0,11510.0,866.0,41.9940877668618,-87.69311326241439,70.16666666666667,0.3016627078384798,0.24703087885985747,0.2494061757719715,0.18052256532066507,0.014251781472684086,0.009501187648456057,0.171021377672209,27.339667458432302,2.0570071258907365,2026-07-01,2026-06-01,7,ALTA,0.9782643826382987,0.0012435215834372244,0.020492095778264295,0.9782643826382987
815,483.0,138.0,138.0,128.0,73.0,2.0,3.0,68.0,13616.0,992.0,41.80525886362042,-87.73120379981046,80.5,0.2857142857142857,0.2857142857142857,0.2650103519668737,0.15113871635610765,0.004140786749482402,0.006211180124223602,0.14078674948240166,28.19047619047619,2.0538302277432714,2026-07-01,2026-06-01,7,ALTA,0.977896715146818,0.001342288357578167,0.020760996495603916,0.977896715146818
122,420.0,118.0,101.0,114.0,57.0,4.0,2.0,59.0,12240.0,836.0,41.88188118164448,-87.63420778422329,70.0,0.28095238095238095,0.24047619047619048,0.2714285714285714,0.1357142857142857,0.009523809523809525,0.004761904761904762,0.14047619047619048,29.142857142857142,1.9904761904761905,2026-07-01,2026-06-01,7,ALTA,0.9774151661410457,0.002261859115412091,0.02032297474354285,0.9774151661410457
2533,392.0,124.0,121.0,114.0,50.0,5.0,7.0,44.0,10580.0,808.0,41.91006383366588,-87.74576355961102,65.33333333333333,0.3163265306122449,0.3086734693877551,0.29081632653061223,0.12755102040816327,0.012755102040816327,0.017857142857142856,0.11224489795918367,26.989795918367346,2.061224489795918,2026-07-01,2026-06-01,7,ALTA,0.9712428877729681,0.0009395444771393443,0.027817567749893087,0.9712428877729681
2512,433.0,136.0,115.0,116.0,62.0,5.0,2.0,50.0,11585.0,893.0,41.92453688742229,-87.79037929181175,72.16666666666667,0.3140877598152425,0.26558891454965355,0.2678983833718245,0.14318706697459585,0.011547344110854504,0.004618937644341801,0.11547344110854503,26.755196304849886,2.0623556581986144,2026-07-01,2026-06-01,7,ALTA,0.9700056780906745,0.002013675520569836,0.02798064638875609,0.9700056780906745
834,401.0,114.0,110.0,102.0,75.0,7.0,5.0,69.0,11320.0,813.0,41.74327562044303,-87.7218631538245,66.83333333333333,0.28428927680798005,0.2743142144638404,0.2543640897755611,0.18703241895261846,0.017456359102244388,0.012468827930174564,0.17206982543640897,28.22942643391521,2.027431421446384,2026-07-01,2026-06-01,7,ALTA,0.9659261671272642,0.0019821082249405968,0.03209172464779611,0.9659261671272642
